GEOID,White,Black,AIAN,Asian,NHPI,Hispanic
06037700600,4264,0,45,294,0,280
06037141101,2893,143,0,203,0,897
06037271500,1818,56,27,452,0,369
06037571202,1387,457,68,495,108,1103
06037920332,1206,37,4,87,3,661
06037139506,2257,0,0,165,0,518
06037431600,600,70,9,2646,3,464
06037530400,0,0,0,822,0,2737
06037543503,659,366,0,2237,26,1790
06037601900,43,1038,6,0,0,3280
06037431501,669,9,0,1918,2,1208
06037481101,680,132,0,1981,0,1367
06037125102,1444,146,0,78,0,238
06037119201,252,33,5,190,0,3459
06037432700,226,0,0,1251,8,3107
06037269908,573,216,0,490,0,539
06037276102,569,1354,0,310,0,605
06037310704,2614,63,74,410,0,984
06037403326,176,43,11,1392,7,655
06037186201,861,39,0,1257,0,1108
06037192510,178,13,0,1341,6,2400
06037430803,690,0,6,3226,0,967
06037701702,1968,316,0,291,0,369
06037189101,1729,102,0,342,0,271
06037228310,19,170,0,1,0,4303
06037920042,2317,321,0,995,12,2942
06037199300,811,50,26,852,0,1944
06037209202,120,55,0,129,0,1092
06037241202,140,1695,0,0,0,2860
06037134101,983,67,0,1930,0,1583
06037143603,1435,273,12,306,0,334
06037433601,124,1,0,3011,85,1652
06037211122,450,274,0,856,0,845
06037502100,694,43,0,714,16,3793
06037620102,2483,32,11,349,0,701
06037237600,10,940,9,0,0,3092
06037550602,794,72,0,235,43,2645
06037599000,1158,5,0,4,0,2091
06037141500,2258,302,0,85,0,185
06037204200,42,40,0,103,20,3112
06037533902,114,0,0,0,0,4225
06037218210,538,401,0,184,0,2952
06037134720,1073,172,0,910,0,2975
06037540502,47,788,0,0,0,5858
06037143402,1623,54,0,59,0,153
06037269602,929,130,0,101,7,977
06037503704,695,14,0,2613,0,1023
06037576401,327,101,0,453,0,2954
06037127605,706,216,42,15,0,2532
06037206303,541,914,20,48,0,721
06037482202,192,58,0,3521,0,1336
06037543321,365,2842,81,1557,4,580
06037275605,1083,435,0,673,0,568
06037310800,2923,90,0,705,0,1122
06037553201,447,278,55,311,0,2544
06037294620,29,257,0,32,133,3409
06037980033,3,0,0,0,0,6
06037400801,2832,105,45,1371,0,2249
06037602301,1859,313,0,735,0,3498
06037221402,272,587,8,564,0,1235
06037670328,2319,398,0,1120,0,271
06037217001,2127,24,0,39,0,389
06037540201,25,6,0,14,0,2195
06037670702,3626,0,0,1131,21,813
06037910721,1361,325,0,143,0,1994
06037106113,460,50,18,607,6,2656
06037185202,1778,0,0,367,0,1686
06037190801,1019,350,22,311,0,1279
06037300501,1082,0,0,1071,0,545
06037302505,2364,135,0,573,10,871
06037195803,1048,92,0,243,0,816
06037228100,280,62,0,22,0,3944
06037302003,2748,24,0,360,0,385
06037132002,1202,96,0,88,0,1928
06037401001,1415,0,0,304,0,782
06037552100,481,303,0,834,0,3699
06037670201,2240,103,0,605,0,436
06037910808,1716,246,0,63,0,1752
06037206053,201,149,0,330,0,2315
06037401500,1725,261,0,566,0,3341
06037530301,12,0,0,113,0,1948
06037269906,1263,258,0,856,0,469
06037533602,176,355,8,9,0,4397
06037267901,1874,101,0,616,0,129
06037183820,350,211,0,441,0,2502
06037190302,1375,96,0,432,0,596
06037237101,42,735,0,64,0,3272
06037265204,792,0,0,491,0,145
06037576601,1368,480,13,490,26,1564
06037701801,1802,604,59,772,0,2496
06037139600,4196,35,0,242,0,353
06037205110,14,8,14,0,0,3642
06037300701,3687,0,0,525,0,365
06037404600,74,0,0,11,6,1248
06037239310,3,379,0,6,0,3631
06037553300,462,132,0,497,0,2612
06037601700,68,345,0,226,95,4447
06037115404,493,131,0,552,0,1265
06037503601,999,95,0,425,8,2504
06037800334,2328,27,0,145,0,926
06037187300,2054,128,8,518,0,940
06037271901,1346,449,0,458,0,993
06037406903,183,215,0,880,44,5890
06037651402,1540,93,0,2485,0,780
06037189300,1815,61,5,522,0,142
06037482521,456,55,28,3335,0,1441
06037920018,1348,10,0,67,0,533
06037218600,458,712,0,351,0,1366
06037231220,94,668,0,414,0,2854
06037462700,1728,357,0,1176,0,2167
06037123520,886,54,0,105,0,1326
06037209810,196,107,0,237,8,2096
06037234501,177,1585,0,40,0,878
06037277100,1632,11,69,757,53,487
06037570901,2099,72,0,890,105,2115
06037192002,2034,54,0,166,9,229
06037481401,320,72,0,3715,162,1071
06037207712,982,738,0,1773,0,1006
06037540203,100,373,0,6,0,4567
06037920020,3253,3,0,375,4,2002
06037189704,1326,79,0,94,0,519
06037702502,1756,583,0,886,0,704
06037543804,473,274,0,2419,0,1226
06037554700,101,23,13,541,0,3379
06037131802,545,242,0,352,0,1165
06037214505,851,120,0,212,0,192
06037119004,265,0,0,213,0,2281
06037402200,1120,654,0,655,8,4537
06037534803,71,0,0,49,0,4397
06037621204,1718,123,14,547,0,244
06037481604,140,108,7,2278,0,1602
06037482801,267,7,0,1585,0,1906
06037910211,1114,91,9,117,0,401
06037209402,143,68,13,151,0,3709
06037311601,1048,169,0,307,0,1200
06037503802,1254,180,0,1445,0,2059
06037269500,3286,10,0,310,0,339
06037111401,835,27,0,403,0,870
06037123205,506,31,7,51,0,2153
06037204700,201,19,5,27,0,4262
06037211922,209,230,27,1064,14,1736
06037554204,533,532,0,194,0,3414
06037123010,340,32,0,85,95,3276
06037204300,88,15,0,78,0,4681
06037310501,1039,263,0,179,15,2082
06037701602,2272,316,0,489,0,958
06037226701,0,67,0,14,0,2437
06037242202,11,789,0,0,0,1892
06037407202,142,0,274,277,0,2371
06037119320,416,161,0,613,0,3102
06037134305,236,39,0,304,0,3049
06037143302,2302,134,0,291,0,435
06037533703,0,0,0,80,0,3836
06037132700,1728,177,0,236,0,2682
06037502401,277,70,0,137,0,4590
06037577400,2058,95,0,139,0,428
06037920120,1687,312,0,1033,0,769
06037103402,2253,475,0,344,0,582
06037293203,330,134,0,601,0,1642
06037117101,946,398,0,1686,0,2009
06037270200,989,519,40,299,0,1541
06037301802,2939,339,0,793,0,989
06037551402,739,196,33,143,0,3941
06037297400,2111,55,0,268,0,844
06037403801,978,530,19,707,0,3138
06037532200,159,133,1,239,0,5875
06037106648,331,0,25,0,35,4322
06037186401,142,78,0,320,0,2374
06037901007,1009,267,0,63,0,635
06037573800,2238,86,0,331,68,1070
06037203500,177,72,0,429,0,2142
06037402503,113,193,36,856,0,3132
06037432601,274,276,19,1926,0,3834
06037270101,1014,204,0,329,0,113
06037407201,75,16,0,410,0,2881
06037533104,155,6,0,45,0,4101
06037113301,2214,51,22,1190,9,708
06037405900,720,83,0,595,0,2786
06037900607,894,584,0,27,0,3243
06037920312,2503,158,0,307,20,3204
06037137302,3243,233,0,171,0,709
06037402301,617,92,26,551,93,4052
06037601211,155,1078,0,33,5,1525
06037910720,654,831,0,71,0,3737
06037206054,4,15,0,352,0,2063
06037531102,7,16,0,36,0,2369
06037570603,537,2713,0,147,281,1643
06037104610,67,0,0,10,0,3024
06037141304,2243,184,0,113,6,327
06037432602,88,1,0,1938,0,2383
